Country,Code,Year,Share of the richest decile in total income or expenditure
Colombia,COL,2004,44.52738101
Colombia,COL,2005,43.19103379
Colombia,COL,2008,43.69644071
Colombia,COL,2009,42.91420794
Colombia,COL,2010,43.41359743
Colombia,COL,2011,42.35840835
Colombia,COL,2012,41.28301127
Colombia,COL,2013,41.36878414
Colombia,COL,2014,41.36827408
Colombia,COL,2015,39.9430277
Colombia,COL,2016,39.78618556
Colombia,COL,2017,38.98341185
Colombia,COL,2018,39.66259568
Colombia,COL,2019,40.31312538
Colombia,COL,2020,42.15697557
Colombia - urban,,1980,47.44688149
Colombia - urban,,1988,41.20633704
Colombia - urban,,1989,42.31239673
Colombia - urban,,1991,39.49405134
Comoros,COM,2004,48.09803699
Comoros,COM,2014,33.66674908
Congo,COG,2005,36.85238499
Congo,COG,2011,37.92931734
Costa Rica,CRI,1981,33.73238049
Costa Rica,CRI,1986,23.05358663
Costa Rica,CRI,1989,33.25066081
Costa Rica,CRI,1990,33.00320911
Costa Rica,CRI,1991,34.29706835
Costa Rica,CRI,1992,33.73518665
Costa Rica,CRI,1993,33.7066672
Costa Rica,CRI,1994,35.25282091
Costa Rica,CRI,1995,33.76418926
Costa Rica,CRI,1996,34.30032868
Costa Rica,CRI,1997,33.84728185
Costa Rica,CRI,1998,34.01960554
Costa Rica,CRI,1999,35.87721068
Costa Rica,CRI,2000,35.67903091
Costa Rica,CRI,2001,39.69909886
Costa Rica,CRI,2002,40.43355204
Costa Rica,CRI,2003,36.99922715
Costa Rica,CRI,2004,36.57669831
Costa Rica,CRI,2005,35.88492671
Costa Rica,CRI,2006,38.27769134
Costa Rica,CRI,2007,38.90459166
Costa Rica,CRI,2008,37.66206094
Costa Rica,CRI,2009,39.4303492
Costa Rica,CRI,2010,36.77480038
Costa Rica,CRI,2011,36.91376018
Costa Rica,CRI,2012,36.61206732
Costa Rica,CRI,2013,36.9657529
Costa Rica,CRI,2014,36.92475453
Costa Rica,CRI,2015,36.80413578
Costa Rica,CRI,2016,37.27723262
Costa Rica,CRI,2017,36.96249291
Costa Rica,CRI,2018,36.34806564
Costa Rica,CRI,2019,36.65763581
Costa Rica,CRI,2020,36.98987851
Cote d'Ivoire,CIV,1985,35.60782737
Cote d'Ivoire,CIV,1986,29.53429956
Cote d'Ivoire,CIV,1987,32.03331022
Cote d'Ivoire,CIV,1988,28.33284166
Cote d'Ivoire,CIV,1992,29.51725565
Cote d'Ivoire,CIV,1995,32.78381856
Cote d'Ivoire,CIV,1998,30.08094026
Cote d'Ivoire,CIV,2002,32.71213417
Cote d'Ivoire,CIV,2008,32.64326659
Cote d'Ivoire,CIV,2015,31.93143421
Cote d'Ivoire,CIV,2018,28.99618537
Croatia,HRV,1998,22.48067582
Croatia,HRV,1999,22.84109367
Croatia,HRV,2000,25.05818245
Croatia,HRV,2001,24.58605066
Croatia,HRV,2004,23.59093353
Croatia,HRV,2008,27.87738465
Croatia,HRV,2009,26.73993095
Croatia,HRV,2010,22.49222175
Croatia,HRV,2011,23.72699378
Croatia,HRV,2012,23.86571015
Croatia,HRV,2013,23.70085805
Croatia,HRV,2014,23.97025097
Croatia,HRV,2015,23.23242373
Croatia,HRV,2016,23.20623102
Croatia,HRV,2017,22.8506888
Croatia,HRV,2018,22.72488437
Croatia,HRV,2019,22.23529989
Cyprus,CYP,2004,24.29068693
Cyprus,CYP,2005,24.86584006
Cyprus,CYP,2006,26.02703326
Cyprus,CYP,2007,25.46617938
Cyprus,CYP,2008,26.20807019
Cyprus,CYP,2009,26.18504796
Cyprus,CYP,2010,25.69694932
Cyprus,CYP,2011,26.69864649
Cyprus,CYP,2012,28.04389909
Cyprus,CYP,2013,30.87124615
Cyprus,CYP,2014,28.82984192
Cyprus,CYP,2015,27.45687637
Cyprus,CYP,2016,26.81229638
Cyprus,CYP,2017,25.48354412
Cyprus,CYP,2018,27.18368039
Cyprus,CYP,2019,25.48900503
Czechia,CZE,1992,19.57751442
Czechia,CZE,1993,23.63183219
Czechia,CZE,1996,22.13857611
Czechia,CZE,2002,22.54428079
Czechia,CZE,2004,23.10654472
Czechia,CZE,2005,22.93940884
Czechia,CZE,2006,22.62029158
Czechia,CZE,2007,22.32055545
Czechia,CZE,2008,22.88448947
Czechia,CZE,2009,22.36771427
Czechia,CZE,2010,22.44896853
Czechia,CZE,2011,22.23894703
Czechia,CZE,2012,22.16931507
Czechia,CZE,2013,22.59282069
Czechia,CZE,2014,22.14519936
Czechia,CZE,2015,22.1298757
Czechia,CZE,2016,21.93964934
Czechia,CZE,2017,21.45550682
Czechia,CZE,2018,21.51091414
Czechia,CZE,2019,21.4917253
Democratic Republic of Congo,COD,2004,32.3958565
Democratic Republic of Congo,COD,2012,31.99392234
Denmark,DNK,1987,21.61107948
Denmark,DNK,1992,20.51795693
Denmark,DNK,1995,19.80455623
Denmark,DNK,2000,20.14654696
Denmark,DNK,2003,21.38372769
Denmark,DNK,2004,20.65321461
Denmark,DNK,2005,20.96280122
Denmark,DNK,2006,21.75876706
Denmark,DNK,2007,22.10770802
Denmark,DNK,2008,21.0430054
Denmark,DNK,2009,21.77958432
Denmark,DNK,2010,22.53283266
Denmark,DNK,2011,22.71312497
Denmark,DNK,2012,23.13577231
Denmark,DNK,2013,23.6878071
Denmark,DNK,2014,23.56351371
Denmark,DNK,2015,23.83117073
Denmark,DNK,2016,23.6725464
Denmark,DNK,2017,24.04075071
Denmark,DNK,2018,23.5073617
Denmark,DNK,2019,23.51792245
Djibouti,DJI,2002,30.77415015
Djibouti,DJI,2012,34.38605069
Djibouti,DJI,2013,34.0986045
Djibouti,DJI,2017,32.30983302
Dominican Republic,DOM,1986,36.1051525
Dominican Republic,DOM,1989,39.81056522
Dominican Republic,DOM,1992,41.94765979
Dominican Republic,DOM,1996,36.49953356
Dominican Republic,DOM,1997,37.86303949
Dominican Republic,DOM,2000,40.22406075
Dominican Republic,DOM,2001,39.20510025
Dominican Republic,DOM,2002,38.33244839
Dominican Republic,DOM,2003,41.74822025
Dominican Republic,DOM,2004,41.70463255
Dominican Republic,DOM,2005,38.95179735
Dominican Republic,DOM,2006,41.19467115
Dominican Republic,DOM,2007,38.60413045
Dominican Republic,DOM,2008,37.79206274
Dominican Republic,DOM,2009,38.71963868
Dominican Republic,DOM,2010,36.54360932
Dominican Republic,DOM,2011,37.49654396
Dominican Republic,DOM,2012,36.04954209
Dominican Republic,DOM,2013,37.9217275
Dominican Republic,DOM,2014,33.37900418
Dominican Republic,DOM,2015,34.85187107
Dominican Republic,DOM,2016,35.3637726
Dominican Republic,DOM,2017,33.50158007
Dominican Republic,DOM,2018,35.15348111
Dominican Republic,DOM,2019,33.10777501
Dominican Republic,DOM,2020,30.45242149
Ecuador,ECU,1994,42.46872948
Ecuador,ECU,1999,47.8509113
Ecuador,ECU,2000,45.91534297
Ecuador,ECU,2003,42.01947018
Ecuador,ECU,2004,42.43241057
Ecuador,ECU,2005,41.14371203
Ecuador,ECU,2006,41.1189518
Ecuador,ECU,2007,42.02268115
Ecuador,ECU,2008,38.11322654
Ecuador,ECU,2009,37.11332262
Ecuador,ECU,2010,37.53977107
Ecuador,ECU,2011,34.11788146
Ecuador,ECU,2012,34.61666579
Ecuador,ECU,2013,35.68076006
Ecuador,ECU,2014,34.3986126
Ecuador,ECU,2015,34.90309782
Ecuador,ECU,2016,34.26764791
Ecuador,ECU,2017,33.8040947
Ecuador,ECU,2018,34.41619316
Ecuador,ECU,2019,34.48763692
Ecuador,ECU,2020,36.04785139
Ecuador - urban,,1987,38.44244739
Ecuador - urban,,1995,40.02924036
Ecuador - urban,,1998,37.85985953
Egypt,EGY,1990,26.73210285
Egypt,EGY,1995,26.0440591
Egypt,EGY,1999,28.34170431
Egypt,EGY,2004,27.43802
Egypt,EGY,2008,26.99343465
Egypt,EGY,2010,26.07511159
Egypt,EGY,2012,24.74718009
Egypt,EGY,2015,27.78239469
Egypt,EGY,2017,26.91669952
El Salvador,SLV,1991,41.3855839
El Salvador,SLV,1995,38.81009827
El Salvador,SLV,1996,39.35521491
El Salvador,SLV,1998,40.52918178
El Salvador,SLV,1999,38.64789406
El Salvador,SLV,2000,38.97702617
El Salvador,SLV,2001,38.60446466
El Salvador,SLV,2002,38.83234545
El Salvador,SLV,2003,37.26456487
El Salvador,SLV,2004,35.63806329
El Salvador,SLV,2005,36.78020541
El Salvador,SLV,2006,35.56170053
El Salvador,SLV,2007,35.71319952
El Salvador,SLV,2008,36.12237598
El Salvador,SLV,2009,35.97668029
El Salvador,SLV,2010,33.23034853
El Salvador,SLV,2011,32.75364928
El Salvador,SLV,2012,32.58991644
El Salvador,SLV,2013,34.2351925
El Salvador,SLV,2014,32.15091829
El Salvador,SLV,2015,31.82663851
El Salvador,SLV,2016,30.65293401
El Salvador,SLV,2017,29.14263683
El Salvador,SLV,2018,29.38977835
El Salvador,SLV,2019,29.79839701
Estonia,EST,1993,31.34571704
Estonia,EST,1995,22.71059038
Estonia,EST,1998,29.76387527
Estonia,EST,2000,27.63384342
Estonia,EST,2001,27.89887381
Estonia,EST,2002,27.31359197
Estonia,EST,2003,26.83854198
Estonia,EST,2004,27.37634582
Estonia,EST,2005,26.16935377
Estonia,EST,2006,26.85871119
Estonia,EST,2007,24.030481
Estonia,EST,2008,24.93063734
Estonia,EST,2009,24.42515059
Estonia,EST,2010,24.28198911
Estonia,EST,2011,24.75652996
Estonia,EST,2012,25.18819586
Estonia,EST,2013,26.60895006
Estonia,EST,2014,26.27465046
Estonia,EST,2015,24.41851025
Estonia,EST,2016,23.11425732
Estonia,EST,2017,22.48676871
Estonia,EST,2018,22.44059196
Estonia,EST,2019,23.30927499
Eswatini,SWZ,1994,49.53159354
Eswatini,SWZ,2000,44.13340738
Eswatini,SWZ,2009,39.98851853
Eswatini,SWZ,2016,42.73134934
Ethiopia,ETH,1995,38.04789942
Ethiopia,ETH,1999,25.48259774
Ethiopia,ETH,2004,25.63695296
Ethiopia,ETH,2010,27.39899845
Ethiopia,ETH,2015,28.46475176
Ethiopia - rural,,1981,27.51651089
Fiji,FJI,2002,29.62382259
Fiji,FJI,2008,32.90755924
Fiji,FJI,2013,29.70127963
Fiji,FJI,2019,24.23538659
Finland,FIN,1987,19.1962451
Finland,FIN,1991,19.62491433
Finland,FIN,1995,20.54394745
Finland,FIN,2000,22.74558671
Finland,FIN,2003,23.0225545
Finland,FIN,2004,23.23791192
Finland,FIN,2005,22.97534762
Finland,FIN,2006,22.98359623
Finland,FIN,2007,23.29383232
Finland,FIN,2008,22.9553779
Finland,FIN,2009,22.58235561
Finland,FIN,2010,22.54591479
Finland,FIN,2011,22.75982359
Finland,FIN,2012,22.28667945
Finland,FIN,2013,22.25097654
Finland,FIN,2014,22.01603061
Finland,FIN,2015,22.40037113
Finland,FIN,2016,22.43306839
Finland,FIN,2017,22.64917064
Finland,FIN,2018,22.59469393
Finland,FIN,2019,22.9664866
France,FRA,1978,27.154868
France,FRA,1984,28.88688406
France,FRA,1989,24.72925281
France,FRA,1994,25.6032077
France,FRA,2000,24.35883386
France,FRA,2003,25.16881964
France,FRA,2004,24.49924494
France,FRA,2005,23.93492659
France,FRA,2006,23.50885842
France,FRA,2007,26.2464575
France,FRA,2008,26.68675834
France,FRA,2009,26.10715661
France,FRA,2010,27.13489205
France,FRA,2011,26.93661001
France,FRA,2012,26.87858779
France,FRA,2013,26.39112199
France,FRA,2014,26.07838892
France,FRA,2015,26.63638822
France,FRA,2016,25.93054872
France,FRA,2017,25.80017061
France,FRA,2018,26.69635823
Gabon,GAB,2005,33.14599264
Gabon,GAB,2017,27.72601422
Gambia,GMB,1998,37.66425673
Gambia,GMB,2003,36.85387094
Gambia,GMB,2010,34.92232054
Gambia,GMB,2015,28.7322085
Georgia,GEO,1996,27.92853468
Georgia,GEO,1997,29.92168901
Georgia,GEO,1998,31.15947669
Georgia,GEO,1999,29.90898676
Georgia,GEO,2000,30.32733987
Georgia,GEO,2001,30.04167915
Georgia,GEO,2002,28.18488346
Georgia,GEO,2003,27.07794757
Georgia,GEO,2004,26.71370161
Georgia,GEO,2005,27.72485502
Georgia,GEO,2006,27.47204423
Georgia,GEO,2007,28.91273607
Georgia,GEO,2008,29.13211777
Georgia,GEO,2009,28.8545216
Georgia,GEO,2010,29.53558843
Georgia,GEO,2011,29.76909945
Georgia,GEO,2012,29.30123179
Georgia,GEO,2013,29.10572533
Georgia,GEO,2014,28.56371526
Georgia,GEO,2015,27.79185281
Georgia,GEO,2016,28.14816439
Georgia,GEO,2017,28.89744844
Georgia,GEO,2018,27.45451386
Georgia,GEO,2019,27.57642399
Georgia,GEO,2020,26.21028726
Germany,DEU,1991,23.1015658
Germany,DEU,1992,23.26779053
Germany,DEU,1993,22.94940956
Germany,DEU,1994,23.04198352
Germany,DEU,1995,22.99034627
Germany,DEU,1996,22.59438236
Germany,DEU,1997,22.4159585
Germany,DEU,1998,22.33331776
Germany,DEU,1999,23.18625038
Germany,DEU,2000,23.04786928
Germany,DEU,2001,23.94755598
Germany,DEU,2002,23.74613678
Germany,DEU,2003,23.96743525
Germany,DEU,2004,24.05902433
Germany,DEU,2005,25.29461491
Germany,DEU,2006,24.85428616
Germany,DEU,2007,25.21039134
Germany,DEU,2008,24.65018091
Germany,DEU,2009,24.02194393
Germany,DEU,2010,24.06612969
Germany,DEU,2011,24.63883005
Germany,DEU,2012,24.40782508
Germany,DEU,2013,24.91309692
Germany,DEU,2014,24.11844363
Germany,DEU,2015,24.82756834
Germany,DEU,2016,24.69237387
Germany,DEU,2017,24.55785525
Germany,DEU,2018,25.14413504
Ghana,GHA,1987,27.34347523
Ghana,GHA,1988,28.1423619
Ghana,GHA,1991,30.1338245
Ghana,GHA,1998,29.58911856
Ghana,GHA,2005,32.68618326
Ghana,GHA,2012,31.7476192
Ghana,GHA,2016,32.21116922
Greece,GRC,1995,27.3214818
Greece,GRC,2000,25.66771623
